run_id,model,train_subset,F1@5,F1@10,F1@M,present_F1@5,absent_R@10,MAP@10,nDCG@10,dup_ratio,recall_P,recall_U
B0_tfidf_full,TF-IDF,,0.1261,0.1142,0.1275,0.1734,0.0113,0.0994,0.177,0.0231,0.3851,0.0165
B1_keybert_full,KeyBERT,,0.0502,0.0601,0.0484,0.1369,0.006,0.034,0.0767,0.024,0.2991,0.0026
B2_keybert_mmr_full,KeyBERT+MMR,,0.0285,0.027,0.0297,0.059,0.0035,0.0215,0.0421,0.0002,0.0989,0.0033
B3_bart_beam5_full,BART,530809.0,0.2445,0.1711,0.2653,0.3039,0.0132,0.2144,0.3088,0.0,0.4682,0.0156
B4_keybart_beam5_full,KeyBART,530809.0,0.2377,0.1672,0.2632,0.2965,0.0097,0.2186,0.3111,0.0,0.4611,0.0114
P1_hybrid_fusion_full,Hybrid,,0.207,0.1842,0.2201,0.3137,0.0323,0.1876,0.3012,0.0,0.7601,0.0578
P2_hybrid_fusion_mmr_full,Hybrid+MMR,,0.256,0.2105,0.2662,0.342,0.0219,0.2312,0.3429,0.0,0.5649,0.0187
B0_tfidf,TF-IDF,,0.1234,0.1143,0.1259,0.1692,0.0076,0.0977,0.1746,0.0245,0.3851,0.0142
B1_keybert,KeyBERT,,0.0501,0.0602,0.0496,0.1395,0.0088,0.0349,0.0775,0.0256,0.2986,0.0004
B2_keybert_mmr,KeyBERT+MMR,,0.0279,0.0261,0.0286,0.0577,0.0025,0.0216,0.0416,0.0001,0.0996,0.0028
B3_bart_beam5,BART,10000.0,0.1989,0.1322,0.2098,0.248,0.0079,0.166,0.2505,0.0,0.3718,0.008
B4_keybart_beam5,KeyBART,10000.0,0.2132,0.1452,0.2237,0.2657,0.0121,0.1807,0.2723,0.0,0.4034,0.0088
P1_hybrid_fusion,Hybrid,,0.1806,0.1605,0.1861,0.2822,0.0285,0.1601,0.2631,0.0,0.678,0.0222
P2_hybrid_fusion_mmr,Hybrid+MMR,,0.2168,0.1741,0.2245,0.2929,0.0192,0.185,0.2882,0.0,0.4796,0.0084
