시스템,구절검색 MRR,구절 Hit@10,구절 평균순위,특이성(IDF),absent 비율,근거성(absent),환각의심률,stem중복률,의미중복도
B0 TF-IDF,0.0623,0.122,1184.8,5.085,0.192,0.349,0.4008,0.04,0.2507
B1 KeyBERT,0.6771,0.892,5.4,5.077,0.58,0.6622,0.0,0.02,0.5441
B2 KeyBERT+MMR,0.2557,0.368,180.0,4.983,0.618,0.5203,0.0713,0.0,0.1897
B3 BART,0.2027,0.3442,621.4,5.07,0.056,0.444,0.2273,0.0,0.2416
B4 KeyBART,0.1884,0.3147,436.0,5.072,0.051,0.3865,0.1875,0.0,0.2248
P1 Hybrid fusion,0.5581,0.74,47.5,5.118,0.374,0.6782,0.0,0.0,0.4607
P2 Hybrid fusion+MMR,0.4231,0.578,264.0,5.254,0.352,0.6388,0.017,0.0,0.3127
P5 Pairwise 무가중,0.2092,0.346,501.2,5.18,0.134,0.4895,0.1108,0.0,0.295
P6 Pairwise PRMU-가중,0.2039,0.34,570.3,5.161,0.15,0.4861,0.1153,0.0,0.2962
[참조] 논문 제목,1.0,1.0,1.0,,,,,,
